date,RSG,isPartial
2019-05-12,68,False
2019-05-19,76,False
2019-05-26,56,False
2019-06-02,68,False
2019-06-09,66,False
2019-06-16,60,False
2019-06-23,65,False
2019-06-30,63,False
2019-07-07,67,False
2019-07-14,47,False
2019-07-21,60,False
2019-07-28,71,False
2019-08-04,67,False
2019-08-11,57,False
2019-08-18,60,False
2019-08-25,67,False
2019-09-01,73,False
2019-09-08,70,False
2019-09-15,68,False
2019-09-22,67,False
2019-09-29,62,False
2019-10-06,66,False
2019-10-13,50,False
2019-10-20,60,False
2019-10-27,74,False
2019-11-03,75,False
2019-11-10,69,False
2019-11-17,68,False
2019-11-24,70,False
2019-12-01,74,False
2019-12-08,66,False
2019-12-15,68,False
2019-12-22,48,False
2019-12-29,58,False
2020-01-05,62,False
2020-01-12,65,False
2020-01-19,58,False
2020-01-26,69,False
2020-02-02,72,False
2020-02-09,69,False
2020-02-16,57,False
2020-02-23,67,False
2020-03-01,72,False
2020-03-08,87,False
2020-03-15,81,False
2020-03-22,75,False
2020-03-29,75,False
2020-04-05,65,False
2020-04-12,60,False
2020-04-19,68,False
2020-04-26,68,False
2020-05-03,62,False
2020-05-10,76,False
2020-05-17,72,False
2020-05-24,70,False
2020-05-31,66,False
2020-06-07,66,False
2020-06-14,72,False
2020-06-21,70,False
2020-06-28,75,False
2020-07-05,58,False
2020-07-12,61,False
2020-07-19,53,False
2020-07-26,58,False
2020-08-02,60,False
2020-08-09,65,False
2020-08-16,76,False
2020-08-23,63,False
2020-08-30,80,False
2020-09-06,69,False
2020-09-13,76,False
2020-09-20,69,False
2020-09-27,79,False
2020-10-04,76,False
2020-10-11,66,False
2020-10-18,63,False
2020-10-25,63,False
2020-11-01,70,False
2020-11-08,64,False
2020-11-15,65,False
2020-11-22,60,False
2020-11-29,67,False
2020-12-06,64,False
2020-12-13,63,False
2020-12-20,44,False
2020-12-27,53,False
2021-01-03,67,False
2021-01-10,81,False
2021-01-17,66,False
2021-01-24,79,False
2021-01-31,73,False
2021-02-07,76,False
2021-02-14,73,False
2021-02-21,69,False
2021-02-28,85,False
2021-03-07,77,False
2021-03-14,82,False
2021-03-21,77,False
2021-03-28,71,False
2021-04-04,75,False
2021-04-11,86,False
2021-04-18,85,False
2021-04-25,72,False
2021-05-02,80,False
2021-05-09,72,False
2021-05-16,76,False
2021-05-23,88,False
2021-05-30,98,False
2021-06-06,92,False
2021-06-13,74,False
2021-06-20,78,False
2021-06-27,94,False
2021-07-04,72,False
2021-07-11,82,False
2021-07-18,88,False
2021-07-25,80,False
2021-08-01,74,False
2021-08-08,66,True
