date,SYY,isPartial
2019-08-25,31,False
2019-09-01,32,False
2019-09-08,43,False
2019-09-15,25,False
2019-09-22,25,False
2019-09-29,35,False
2019-10-06,26,False
2019-10-13,42,False
2019-10-20,32,False
2019-10-27,23,False
2019-11-03,42,False
2019-11-10,37,False
2019-11-17,32,False
2019-11-24,30,False
2019-12-01,13,False
2019-12-08,36,False
2019-12-15,26,False
2019-12-22,12,False
2019-12-29,32,False
2020-01-05,30,False
2020-01-12,44,False
2020-01-19,30,False
2020-01-26,36,False
2020-02-02,42,False
2020-02-09,33,False
2020-02-16,31,False
2020-02-23,40,False
2020-03-01,21,False
2020-03-08,62,False
2020-03-15,82,False
2020-03-22,100,False
2020-03-29,68,False
2020-04-05,70,False
2020-04-12,63,False
2020-04-19,62,False
2020-04-26,62,False
2020-05-03,57,False
2020-05-10,63,False
2020-05-17,55,False
2020-05-24,49,False
2020-05-31,46,False
2020-06-07,62,False
2020-06-14,40,False
2020-06-21,45,False
2020-06-28,43,False
2020-07-05,42,False
2020-07-12,52,False
2020-07-19,48,False
2020-07-26,38,False
2020-08-02,49,False
2020-08-09,60,False
2020-08-16,37,False
2020-08-23,48,False
2020-08-30,42,False
2020-09-06,29,False
2020-09-13,49,False
2020-09-20,33,False
2020-09-27,33,False
2020-10-04,28,False
2020-10-11,39,False
2020-10-18,30,False
2020-10-25,39,False
2020-11-01,46,False
2020-11-08,57,False
2020-11-15,58,False
2020-11-22,37,False
2020-11-29,30,False
2020-12-06,51,False
2020-12-13,54,False
2020-12-20,34,False
2020-12-27,63,False
2021-01-03,78,False
2021-01-10,68,False
2021-01-17,40,False
2021-01-24,64,False
2021-01-31,71,False
2021-02-07,64,False
2021-02-14,59,False
2021-02-21,68,False
2021-02-28,60,False
2021-03-07,62,False
2021-03-14,53,False
2021-03-21,55,False
2021-03-28,72,False
2021-04-04,71,False
2021-04-11,65,False
2021-04-18,55,False
2021-04-25,49,False
2021-05-02,34,False
2021-05-09,63,False
2021-05-16,50,False
2021-05-23,33,False
2021-05-30,30,False
2021-06-06,36,False
2021-06-13,30,False
2021-06-20,24,False
2021-06-27,25,False
2021-07-04,18,False
2021-07-11,37,False
2021-07-18,33,False
2021-07-25,35,False
2021-08-01,21,False
2021-08-08,62,True
