date,YUM,isPartial
2020-08-23,88,False
2020-08-30,82,False
2020-09-06,77,False
2020-09-13,75,False
2020-09-20,80,False
2020-09-27,81,False
2020-10-04,68,False
2020-10-11,74,False
2020-10-18,75,False
2020-10-25,74,False
2020-11-01,67,False
2020-11-08,76,False
2020-11-15,76,False
2020-11-22,72,False
2020-11-29,72,False
2020-12-06,71,False
2020-12-13,79,False
2020-12-20,74,False
2020-12-27,81,False
2021-01-03,76,False
2021-01-10,75,False
2021-01-17,77,False
2021-01-24,82,False
2021-01-31,78,False
2021-02-07,79,False
2021-02-14,81,False
2021-02-21,80,False
2021-02-28,75,False
2021-03-07,81,False
2021-03-14,77,False
2021-03-21,71,False
2021-03-28,76,False
2021-04-04,75,False
2021-04-11,79,False
2021-04-18,82,False
2021-04-25,75,False
2021-05-02,72,False
2021-05-09,80,False
2021-05-16,81,False
2021-05-23,79,False
2021-05-30,76,False
2021-06-06,79,False
2021-06-13,78,False
2021-06-20,81,False
2021-06-27,80,False
2021-07-04,80,False
2021-07-11,82,False
2021-07-18,86,False
2021-07-25,80,False
2021-08-01,82,False
2021-08-08,79,True
