date,NEM,isPartial
2020-05-03,97,False
2020-05-10,91,False
2020-05-17,88,False
2020-05-24,87,False
2020-05-31,85,False
2020-06-07,86,False
2020-06-14,81,False
2020-06-21,81,False
2020-06-28,79,False
2020-07-05,77,False
2020-07-12,74,False
2020-07-19,78,False
2020-07-26,80,False
2020-08-02,77,False
2020-08-09,80,False
2020-08-16,80,False
2020-08-23,79,False
2020-08-30,75,False
2020-09-06,75,False
2020-09-13,72,False
2020-09-20,75,False
2020-09-27,75,False
2020-10-04,76,False
2020-10-11,74,False
2020-10-18,76,False
2020-10-25,79,False
2020-11-01,75,False
2020-11-08,79,False
2020-11-15,82,False
2020-11-22,85,False
2020-11-29,85,False
2020-12-06,85,False
2020-12-13,80,False
2020-12-20,75,False
2020-12-27,81,False
2021-01-03,82,False
2021-01-10,75,False
2021-01-17,79,False
2021-01-24,82,False
2021-01-31,76,False
2021-02-07,89,False
2021-02-14,78,False
2021-02-21,83,False
2021-02-28,83,False
2021-03-07,91,False
2021-03-14,87,False
2021-03-21,89,False
2021-03-28,86,False
2021-04-04,86,False
2021-04-11,89,False
2021-04-18,87,False
2021-04-25,85,False
2021-05-02,86,False
2021-05-09,80,False
2021-05-16,80,False
2021-05-23,80,False
2021-05-30,77,False
2021-06-06,84,False
2021-06-13,80,False
2021-06-20,80,False
2021-06-27,77,False
2021-07-04,75,False
2021-07-11,74,False
2021-07-18,77,False
2021-07-25,68,False
2021-08-01,72,False
2021-08-08,69,True
