date,HUM,isPartial
2020-06-21,38,False
2020-06-28,39,False
2020-07-05,40,False
2020-07-12,40,False
2020-07-19,38,False
2020-07-26,39,False
2020-08-02,38,False
2020-08-09,39,False
2020-08-16,37,False
2020-08-23,37,False
2020-08-30,37,False
2020-09-06,37,False
2020-09-13,36,False
2020-09-20,36,False
2020-09-27,37,False
2020-10-04,37,False
2020-10-11,39,False
2020-10-18,37,False
2020-10-25,33,False
2020-11-01,31,False
2020-11-08,30,False
2020-11-15,32,False
2020-11-22,33,False
2020-11-29,30,False
2020-12-06,33,False
2020-12-13,33,False
2020-12-20,35,False
2020-12-27,35,False
2021-01-03,34,False
2021-01-10,33,False
2021-01-17,32,False
2021-01-24,30,False
2021-01-31,28,False
2021-02-07,28,False
2021-02-14,30,False
2021-02-21,28,False
2021-02-28,30,False
2021-03-07,28,False
2021-03-14,27,False
2021-03-21,28,False
2021-03-28,26,False
2021-04-04,27,False
2021-04-11,27,False
2021-04-18,27,False
2021-04-25,27,False
2021-05-02,28,False
2021-05-09,33,False
2021-05-16,31,False
2021-05-23,29,False
2021-05-30,29,False
2021-06-06,28,False
2021-06-13,29,False
2021-06-20,28,False
2021-06-27,27,False
2021-07-04,30,False
2021-07-11,28,False
2021-07-18,28,False
2021-07-25,29,False
2021-08-01,31,False
2021-08-08,30,True
