date,CLX,isPartial
2020-03-01,75,False
2020-03-08,83,False
2020-03-15,87,False
2020-03-22,90,False
2020-03-29,60,False
2020-04-05,54,False
2020-04-12,61,False
2020-04-19,72,False
2020-04-26,86,False
2020-05-03,86,False
2020-05-10,88,False
2020-05-17,88,False
2020-05-24,71,False
2020-05-31,73,False
2020-06-07,70,False
2020-06-14,71,False
2020-06-21,82,False
2020-06-28,71,False
2020-07-05,70,False
2020-07-12,68,False
2020-07-19,69,False
2020-07-26,75,False
2020-08-02,79,False
2020-08-09,69,False
2020-08-16,64,False
2020-08-23,69,False
2020-08-30,55,False
2020-09-06,67,False
2020-09-13,58,False
2020-09-20,58,False
2020-09-27,70,False
2020-10-04,53,False
2020-10-11,56,False
2020-10-18,59,False
2020-10-25,63,False
2020-11-01,61,False
2020-11-08,56,False
2020-11-15,59,False
2020-11-22,47,False
2020-11-29,61,False
2020-12-06,64,False
2020-12-13,60,False
2020-12-20,56,False
2020-12-27,58,False
2021-01-03,54,False
2021-01-10,59,False
2021-01-17,56,False
2021-01-24,85,False
2021-01-31,68,False
2021-02-07,61,False
2021-02-14,55,False
2021-02-21,79,False
2021-02-28,65,False
2021-03-07,67,False
2021-03-14,67,False
2021-03-21,56,False
2021-03-28,62,False
2021-04-04,68,False
2021-04-11,70,False
2021-04-18,59,False
2021-04-25,73,False
2021-05-02,66,False
2021-05-09,69,False
2021-05-16,60,False
2021-05-23,75,False
2021-05-30,56,False
2021-06-06,67,False
2021-06-13,60,False
2021-06-20,59,False
2021-06-27,77,False
2021-07-04,52,False
2021-07-11,59,False
2021-07-18,63,False
2021-07-25,57,False
2021-08-01,65,False
2021-08-08,59,True
