date,DG,isPartial
2019-03-10,67,False
2019-03-17,67,False
2019-03-24,64,False
2019-03-31,67,False
2019-04-07,64,False
2019-04-14,64,False
2019-04-21,64,False
2019-04-28,63,False
2019-05-05,64,False
2019-05-12,66,False
2019-05-19,64,False
2019-05-26,64,False
2019-06-02,56,False
2019-06-09,59,False
2019-06-16,62,False
2019-06-23,61,False
2019-06-30,63,False
2019-07-07,62,False
2019-07-14,71,False
2019-07-21,61,False
2019-07-28,64,False
2019-08-04,63,False
2019-08-11,60,False
2019-08-18,72,False
2019-08-25,66,False
2019-09-01,74,False
2019-09-08,71,False
2019-09-15,67,False
2019-09-22,70,False
2019-09-29,66,False
2019-10-06,70,False
2019-10-13,64,False
2019-10-20,61,False
2019-10-27,64,False
2019-11-03,65,False
2019-11-10,63,False
2019-11-17,63,False
2019-11-24,68,False
2019-12-01,65,False
2019-12-08,65,False
2019-12-15,61,False
2019-12-22,61,False
2019-12-29,57,False
2020-01-05,67,False
2020-01-12,72,False
2020-01-19,65,False
2020-01-26,65,False
2020-02-02,64,False
2020-02-09,64,False
2020-02-16,66,False
2020-02-23,64,False
2020-03-01,66,False
2020-03-08,63,False
2020-03-15,60,False
2020-03-22,58,False
2020-03-29,64,False
2020-04-05,59,False
2020-04-12,61,False
2020-04-19,58,False
2020-04-26,60,False
2020-05-03,63,False
2020-05-10,64,False
2020-05-17,70,False
2020-05-24,70,False
2020-05-31,72,False
2020-06-07,72,False
2020-06-14,67,False
2020-06-21,67,False
2020-06-28,66,False
2020-07-05,64,False
2020-07-12,73,False
2020-07-19,78,False
2020-07-26,76,False
2020-08-02,72,False
2020-08-09,76,False
2020-08-16,74,False
2020-08-23,74,False
2020-08-30,76,False
2020-09-06,77,False
2020-09-13,84,False
2020-09-20,81,False
2020-09-27,81,False
2020-10-04,75,False
2020-10-11,75,False
2020-10-18,72,False
2020-10-25,78,False
2020-11-01,70,False
2020-11-08,74,False
2020-11-15,74,False
2020-11-22,77,False
2020-11-29,79,False
2020-12-06,78,False
2020-12-13,78,False
2020-12-20,75,False
2020-12-27,71,False
2021-01-03,73,False
2021-01-10,78,False
2021-01-17,81,False
2021-01-24,84,False
2021-01-31,82,False
2021-02-07,74,False
2021-02-14,75,False
2021-02-21,80,False
2021-02-28,80,False
2021-03-07,79,False
2021-03-14,77,False
2021-03-21,77,False
2021-03-28,76,False
2021-04-04,73,False
2021-04-11,72,False
2021-04-18,80,False
2021-04-25,74,False
2021-05-02,77,False
2021-05-09,100,False
2021-05-16,90,False
2021-05-23,79,False
2021-05-30,79,False
2021-06-06,73,False
2021-06-13,75,False
2021-06-20,73,False
2021-06-27,71,False
2021-07-04,75,False
2021-07-11,77,False
2021-07-18,79,False
2021-07-25,77,False
2021-08-01,78,False
2021-08-08,77,True
