date,ESS,isPartial
2020-08-02,77,False
2020-08-09,72,False
2020-08-16,79,False
2020-08-23,83,False
2020-08-30,86,False
2020-09-06,82,False
2020-09-13,85,False
2020-09-20,83,False
2020-09-27,81,False
2020-10-04,85,False
2020-10-11,78,False
2020-10-18,75,False
2020-10-25,81,False
2020-11-01,76,False
2020-11-08,76,False
2020-11-15,88,False
2020-11-22,84,False
2020-11-29,82,False
2020-12-06,84,False
2020-12-13,80,False
2020-12-20,73,False
2020-12-27,81,False
2021-01-03,79,False
2021-01-10,86,False
2021-01-17,85,False
2021-01-24,88,False
2021-01-31,85,False
2021-02-07,77,False
2021-02-14,80,False
2021-02-21,90,False
2021-02-28,86,False
2021-03-07,82,False
2021-03-14,85,False
2021-03-21,85,False
2021-03-28,89,False
2021-04-04,84,False
2021-04-11,87,False
2021-04-18,86,False
2021-04-25,88,False
2021-05-02,78,False
2021-05-09,77,False
2021-05-16,81,False
2021-05-23,81,False
2021-05-30,80,False
2021-06-06,80,False
2021-06-13,84,False
2021-06-20,86,False
2021-06-27,86,False
2021-07-04,80,False
2021-07-11,80,False
2021-07-18,75,False
2021-07-25,81,False
2021-08-01,80,False
2021-08-08,73,True
