date,AOS,isPartial
2020-03-15,57,False
2020-03-22,68,False
2020-03-29,75,False
2020-04-05,92,False
2020-04-12,81,False
2020-04-19,72,False
2020-04-26,70,False
2020-05-03,79,False
2020-05-10,81,False
2020-05-17,80,False
2020-05-24,83,False
2020-05-31,84,False
2020-06-07,78,False
2020-06-14,82,False
2020-06-21,81,False
2020-06-28,73,False
2020-07-05,69,False
2020-07-12,71,False
2020-07-19,68,False
2020-07-26,70,False
2020-08-02,68,False
2020-08-09,75,False
2020-08-16,77,False
2020-08-23,76,False
2020-08-30,74,False
2020-09-06,70,False
2020-09-13,81,False
2020-09-20,78,False
2020-09-27,81,False
2020-10-04,86,False
2020-10-11,77,False
2020-10-18,77,False
2020-10-25,74,False
2020-11-01,65,False
2020-11-08,75,False
2020-11-15,81,False
2020-11-22,86,False
2020-11-29,88,False
2020-12-06,82,False
2020-12-13,70,False
2020-12-20,51,False
2020-12-27,40,False
2021-01-03,49,False
2021-01-10,49,False
2021-01-17,48,False
2021-01-24,48,False
2021-01-31,47,False
2021-02-07,50,False
2021-02-14,51,False
2021-02-21,58,False
2021-02-28,64,False
2021-03-07,75,False
2021-03-14,73,False
2021-03-21,79,False
2021-03-28,73,False
2021-04-04,88,False
2021-04-11,85,False
2021-04-18,84,False
2021-04-25,90,False
2021-05-02,85,False
2021-05-09,86,False
2021-05-16,86,False
2021-05-23,89,False
2021-05-30,81,False
2021-06-06,92,False
2021-06-13,100,False
2021-06-20,91,False
2021-06-27,79,False
2021-07-04,71,False
2021-07-11,62,False
2021-07-18,60,False
2021-07-25,56,False
2021-08-01,66,False
2021-08-08,70,True
