date,HWM,isPartial
2020-07-05,73,False
2020-07-12,67,False
2020-07-19,59,False
2020-07-26,38,False
2020-08-02,70,False
2020-08-09,70,False
2020-08-16,57,False
2020-08-23,51,False
2020-08-30,70,False
2020-09-06,71,False
2020-09-13,29,False
2020-09-20,55,False
2020-09-27,30,False
2020-10-04,45,False
2020-10-11,48,False
2020-10-18,53,False
2020-10-25,69,False
2020-11-01,38,False
2020-11-08,65,False
2020-11-15,68,False
2020-11-22,59,False
2020-11-29,73,False
2020-12-06,80,False
2020-12-13,56,False
2020-12-20,68,False
2020-12-27,63,False
2021-01-03,58,False
2021-01-10,65,False
2021-01-17,49,False
2021-01-24,40,False
2021-01-31,77,False
2021-02-07,67,False
2021-02-14,50,False
2021-02-21,49,False
2021-02-28,58,False
2021-03-07,62,False
2021-03-14,49,False
2021-03-21,55,False
2021-03-28,42,False
2021-04-04,47,False
2021-04-11,34,False
2021-04-18,56,False
2021-04-25,40,False
2021-05-02,40,False
2021-05-09,35,False
2021-05-16,43,False
2021-05-23,28,False
2021-05-30,34,False
2021-06-06,66,False
2021-06-13,35,False
2021-06-20,61,False
2021-06-27,45,False
2021-07-04,36,False
2021-07-11,32,False
2021-07-18,33,False
2021-07-25,67,False
2021-08-01,94,False
2021-08-08,64,True
