date,CTAS,isPartial
2020-06-07,84,False
2020-06-14,59,False
2020-06-21,63,False
2020-06-28,55,False
2020-07-05,60,False
2020-07-12,74,False
2020-07-19,50,False
2020-07-26,86,False
2020-08-02,71,False
2020-08-09,82,False
2020-08-16,66,False
2020-08-23,71,False
2020-08-30,60,False
2020-09-06,48,False
2020-09-13,67,False
2020-09-20,73,False
2020-09-27,53,False
2020-10-04,65,False
2020-10-11,51,False
2020-10-18,52,False
2020-10-25,48,False
2020-11-01,50,False
2020-11-08,54,False
2020-11-15,52,False
2020-11-22,60,False
2020-11-29,66,False
2020-12-06,60,False
2020-12-13,42,False
2020-12-20,83,False
2020-12-27,50,False
2021-01-03,54,False
2021-01-10,51,False
2021-01-17,53,False
2021-01-24,67,False
2021-01-31,74,False
2021-02-07,63,False
2021-02-14,51,False
2021-02-21,65,False
2021-02-28,45,False
2021-03-07,64,False
2021-03-14,55,False
2021-03-21,56,False
2021-03-28,51,False
2021-04-04,60,False
2021-04-11,49,False
2021-04-18,51,False
2021-04-25,63,False
2021-05-02,49,False
2021-05-09,68,False
2021-05-16,67,False
2021-05-23,68,False
2021-05-30,45,False
2021-06-06,47,False
2021-06-13,36,False
2021-06-20,44,False
2021-06-27,70,False
2021-07-04,53,False
2021-07-11,61,False
2021-07-18,72,False
2021-07-25,67,False
2021-08-01,56,False
2021-08-08,45,True
