date,FTV,isPartial
2021-01-24,35,False
2021-01-31,31,False
2021-02-07,39,False
2021-02-14,32,False
2021-02-21,32,False
2021-02-28,31,False
2021-03-07,31,False
2021-03-14,32,False
2021-03-21,30,False
2021-03-28,30,False
2021-04-04,30,False
2021-04-11,27,False
2021-04-18,29,False
2021-04-25,31,False
2021-05-02,28,False
2021-05-09,33,False
2021-05-16,31,False
2021-05-23,32,False
2021-05-30,32,False
2021-06-06,32,False
2021-06-13,38,False
2021-06-20,33,False
2021-06-27,29,False
2021-07-04,32,False
2021-07-11,32,False
2021-07-18,32,False
2021-07-25,31,False
2021-08-01,34,False
2021-08-08,31,True
