date,EQR,isPartial
2019-12-22,71,False
2019-12-29,56,False
2020-01-05,89,False
2020-01-12,43,False
2020-01-19,70,False
2020-01-26,55,False
2020-02-02,29,False
2020-02-09,43,False
2020-02-16,22,False
2020-02-23,63,False
2020-03-01,45,False
2020-03-08,48,False
2020-03-15,34,False
2020-03-22,30,False
2020-03-29,49,False
2020-04-05,34,False
2020-04-12,36,False
2020-04-19,39,False
2020-04-26,20,False
2020-05-03,52,False
2020-05-10,54,False
2020-05-17,30,False
2020-05-24,51,False
2020-05-31,46,False
2020-06-07,43,False
2020-06-14,68,False
2020-06-21,52,False
2020-06-28,52,False
2020-07-05,57,False
2020-07-12,61,False
2020-07-19,55,False
2020-07-26,100,False
2020-08-02,79,False
2020-08-09,57,False
2020-08-16,57,False
2020-08-23,53,False
2020-08-30,28,False
2020-09-06,48,False
2020-09-13,55,False
2020-09-20,44,False
2020-09-27,53,False
2020-10-04,46,False
2020-10-11,63,False
2020-10-18,48,False
2020-10-25,77,False
2020-11-01,48,False
2020-11-08,73,False
2020-11-15,55,False
2020-11-22,62,False
2020-11-29,50,False
2020-12-06,44,False
2020-12-13,36,False
2020-12-20,36,False
2020-12-27,47,False
2021-01-03,43,False
2021-01-10,62,False
2021-01-17,43,False
2021-01-24,62,False
2021-01-31,87,False
2021-02-07,54,False
2021-02-14,66,False
2021-02-21,53,False
2021-02-28,51,False
2021-03-07,25,False
2021-03-14,48,False
2021-03-21,58,False
2021-03-28,53,False
2021-04-04,73,False
2021-04-11,44,False
2021-04-18,33,False
2021-04-25,64,False
2021-05-02,40,False
2021-05-09,22,False
2021-05-16,44,False
2021-05-23,67,False
2021-05-30,52,False
2021-06-06,70,False
2021-06-13,59,False
2021-06-20,34,False
2021-06-27,37,False
2021-07-04,61,False
2021-07-11,53,False
2021-07-18,66,False
2021-07-25,53,False
2021-08-01,53,False
2021-08-08,71,True
