date,TWTR,isPartial
2020-05-03,21,False
2020-05-10,21,False
2020-05-17,21,False
2020-05-24,44,False
2020-05-31,29,False
2020-06-07,20,False
2020-06-14,20,False
2020-06-21,23,False
2020-06-28,22,False
2020-07-05,32,False
2020-07-12,39,False
2020-07-19,37,False
2020-07-26,25,False
2020-08-02,20,False
2020-08-09,24,False
2020-08-16,18,False
2020-08-23,26,False
2020-08-30,19,False
2020-09-06,19,False
2020-09-13,18,False
2020-09-20,24,False
2020-09-27,24,False
2020-10-04,20,False
2020-10-11,25,False
2020-10-18,25,False
2020-10-25,44,False
2020-11-01,40,False
2020-11-08,21,False
2020-11-15,18,False
2020-11-22,15,False
2020-11-29,19,False
2020-12-06,18,False
2020-12-13,20,False
2020-12-20,18,False
2020-12-27,21,False
2021-01-03,29,False
2021-01-10,66,False
2021-01-17,27,False
2021-01-24,28,False
2021-01-31,28,False
2021-02-07,46,False
2021-02-14,25,False
2021-02-21,32,False
2021-02-28,23,False
2021-03-07,18,False
2021-03-14,15,False
2021-03-21,17,False
2021-03-28,23,False
2021-04-04,21,False
2021-04-11,14,False
2021-04-18,13,False
2021-04-25,36,False
2021-05-02,34,False
2021-05-09,25,False
2021-05-16,19,False
2021-05-23,20,False
2021-05-30,20,False
2021-06-06,21,False
2021-06-13,16,False
2021-06-20,22,False
2021-06-27,15,False
2021-07-04,17,False
2021-07-11,17,False
2021-07-18,31,False
2021-07-25,20,False
2021-08-01,18,False
2021-08-08,18,True
