date,STE,isPartial
2020-12-27,68,False
2021-01-03,76,False
2021-01-10,81,False
2021-01-17,76,False
2021-01-24,80,False
2021-01-31,76,False
2021-02-07,76,False
2021-02-14,72,False
2021-02-21,80,False
2021-02-28,83,False
2021-03-07,81,False
2021-03-14,76,False
2021-03-21,80,False
2021-03-28,84,False
2021-04-04,86,False
2021-04-11,77,False
2021-04-18,81,False
2021-04-25,83,False
2021-05-02,86,False
2021-05-09,85,False
2021-05-16,80,False
2021-05-23,86,False
2021-05-30,86,False
2021-06-06,86,False
2021-06-13,85,False
2021-06-20,85,False
2021-06-27,89,False
2021-07-04,91,False
2021-07-11,92,False
2021-07-18,93,False
2021-07-25,92,False
2021-08-01,91,False
2021-08-08,93,True
