date,ES,isPartial
2020-09-27,90,False
2020-10-04,88,False
2020-10-11,92,False
2020-10-18,89,False
2020-10-25,94,False
2020-11-01,84,False
2020-11-08,89,False
2020-11-15,87,False
2020-11-22,86,False
2020-11-29,81,False
2020-12-06,76,False
2020-12-13,72,False
2020-12-20,56,False
2020-12-27,53,False
2021-01-03,62,False
2021-01-10,72,False
2021-01-17,76,False
2021-01-24,78,False
2021-01-31,79,False
2021-02-07,83,False
2021-02-14,84,False
2021-02-21,88,False
2021-02-28,91,False
2021-03-07,92,False
2021-03-14,91,False
2021-03-21,90,False
2021-03-28,70,False
2021-04-04,85,False
2021-04-11,93,False
2021-04-18,100,False
2021-04-25,96,False
2021-05-02,93,False
2021-05-09,93,False
2021-05-16,90,False
2021-05-23,96,False
2021-05-30,93,False
2021-06-06,94,False
2021-06-13,91,False
2021-06-20,84,False
2021-06-27,81,False
2021-07-04,80,False
2021-07-11,79,False
2021-07-18,79,False
2021-07-25,75,False
2021-08-01,75,False
2021-08-08,81,True
