date,CPB,isPartial
2018-08-12,27,False
2018-08-19,30,False
2018-08-26,26,False
2018-09-02,28,False
2018-09-09,27,False
2018-09-16,34,False
2018-09-23,30,False
2018-09-30,30,False
2018-10-07,31,False
2018-10-14,30,False
2018-10-21,27,False
2018-10-28,32,False
2018-11-04,23,False
2018-11-11,23,False
2018-11-18,30,False
2018-11-25,30,False
2018-12-02,27,False
2018-12-09,27,False
2018-12-16,26,False
2018-12-23,18,False
2018-12-30,27,False
2019-01-06,27,False
2019-01-13,23,False
2019-01-20,20,False
2019-01-27,26,False
2019-02-03,21,False
2019-02-10,30,False
2019-02-17,29,False
2019-02-24,31,False
2019-03-03,24,False
2019-03-10,25,False
2019-03-17,31,False
2019-03-24,34,False
2019-03-31,25,False
2019-04-07,35,False
2019-04-14,26,False
2019-04-21,23,False
2019-04-28,25,False
2019-05-05,22,False
2019-05-12,24,False
2019-05-19,25,False
2019-05-26,28,False
2019-06-02,33,False
2019-06-09,27,False
2019-06-16,32,False
2019-06-23,28,False
2019-06-30,29,False
2019-07-07,25,False
2019-07-14,26,False
2019-07-21,24,False
2019-07-28,22,False
2019-08-04,27,False
2019-08-11,28,False
2019-08-18,31,False
2019-08-25,34,False
2019-09-01,30,False
2019-09-08,28,False
2019-09-15,29,False
2019-09-22,27,False
2019-09-29,33,False
2019-10-06,29,False
2019-10-13,30,False
2019-10-20,32,False
2019-10-27,29,False
2019-11-03,31,False
2019-11-10,28,False
2019-11-17,33,False
2019-11-24,37,False
2019-12-01,40,False
2019-12-08,28,False
2019-12-15,24,False
2019-12-22,20,False
2019-12-29,18,False
2020-01-05,28,False
2020-01-12,23,False
2020-01-19,24,False
2020-01-26,31,False
2020-02-02,26,False
2020-02-09,27,False
2020-02-16,25,False
2020-02-23,27,False
2020-03-01,31,False
2020-03-08,30,False
2020-03-15,37,False
2020-03-22,95,False
2020-03-29,96,False
2020-04-05,77,False
2020-04-12,66,False
2020-04-19,59,False
2020-04-26,59,False
2020-05-03,60,False
2020-05-10,74,False
2020-05-17,84,False
2020-05-24,81,False
2020-05-31,96,False
2020-06-07,74,False
2020-06-14,100,False
2020-06-21,83,False
2020-06-28,79,False
2020-07-05,73,False
2020-07-12,59,False
2020-07-19,58,False
2020-07-26,63,False
2020-08-02,72,False
2020-08-09,79,False
2020-08-16,76,False
2020-08-23,88,False
2020-08-30,76,False
2020-09-06,72,False
2020-09-13,82,False
2020-09-20,83,False
2020-09-27,72,False
2020-10-04,68,False
2020-10-11,53,False
2020-10-18,75,False
2020-10-25,76,False
2020-11-01,61,False
2020-11-08,70,False
2020-11-15,73,False
2020-11-22,83,False
2020-11-29,85,False
2020-12-06,72,False
2020-12-13,36,False
2020-12-20,23,False
2020-12-27,20,False
2021-01-03,24,False
2021-01-10,24,False
2021-01-17,27,False
2021-01-24,35,False
2021-01-31,58,False
2021-02-07,56,False
2021-02-14,53,False
2021-02-21,63,False
2021-02-28,84,False
2021-03-07,75,False
2021-03-14,76,False
2021-03-21,91,False
2021-03-28,60,False
2021-04-04,87,False
2021-04-11,81,False
2021-04-18,61,False
2021-04-25,64,False
2021-05-02,71,False
2021-05-09,75,False
2021-05-16,73,False
2021-05-23,72,False
2021-05-30,66,False
2021-06-06,81,False
2021-06-13,78,False
2021-06-20,64,False
2021-06-27,43,False
2021-07-04,32,False
2021-07-11,33,False
2021-07-18,33,False
2021-07-25,25,False
2021-08-01,55,False
2021-08-08,63,True
