date,SJM,isPartial
2020-03-08,63,False
2020-03-15,47,False
2020-03-22,58,False
2020-03-29,56,False
2020-04-05,62,False
2020-04-12,51,False
2020-04-19,67,False
2020-04-26,56,False
2020-05-03,68,False
2020-05-10,80,False
2020-05-17,59,False
2020-05-24,83,False
2020-05-31,77,False
2020-06-07,67,False
2020-06-14,62,False
2020-06-21,69,False
2020-06-28,56,False
2020-07-05,68,False
2020-07-12,78,False
2020-07-19,63,False
2020-07-26,80,False
2020-08-02,68,False
2020-08-09,74,False
2020-08-16,76,False
2020-08-23,70,False
2020-08-30,62,False
2020-09-06,66,False
2020-09-13,61,False
2020-09-20,67,False
2020-09-27,64,False
2020-10-04,63,False
2020-10-11,64,False
2020-10-18,55,False
2020-10-25,65,False
2020-11-01,64,False
2020-11-08,87,False
2020-11-15,77,False
2020-11-22,58,False
2020-11-29,67,False
2020-12-06,63,False
2020-12-13,67,False
2020-12-20,63,False
2020-12-27,75,False
2021-01-03,82,False
2021-01-10,59,False
2021-01-17,72,False
2021-01-24,75,False
2021-01-31,89,False
2021-02-07,57,False
2021-02-14,84,False
2021-02-21,80,False
2021-02-28,71,False
2021-03-07,57,False
2021-03-14,59,False
2021-03-21,67,False
2021-03-28,79,False
2021-04-04,89,False
2021-04-11,59,False
2021-04-18,61,False
2021-04-25,86,False
2021-05-02,80,False
2021-05-09,68,False
2021-05-16,71,False
2021-05-23,77,False
2021-05-30,68,False
2021-06-06,62,False
2021-06-13,74,False
2021-06-20,50,False
2021-06-27,75,False
2021-07-04,57,False
2021-07-11,64,False
2021-07-18,57,False
2021-07-25,61,False
2021-08-01,60,False
2021-08-08,59,True
