date,TSCO,isPartial
2020-05-10,75,False
2020-05-17,48,False
2020-05-24,86,False
2020-05-31,55,False
2020-06-07,71,False
2020-06-14,61,False
2020-06-21,92,False
2020-06-28,70,False
2020-07-05,58,False
2020-07-12,65,False
2020-07-19,84,False
2020-07-26,71,False
2020-08-02,53,False
2020-08-09,73,False
2020-08-16,46,False
2020-08-23,65,False
2020-08-30,77,False
2020-09-06,90,False
2020-09-13,74,False
2020-09-20,55,False
2020-09-27,68,False
2020-10-04,79,False
2020-10-11,65,False
2020-10-18,85,False
2020-10-25,57,False
2020-11-01,79,False
2020-11-08,59,False
2020-11-15,52,False
2020-11-22,61,False
2020-11-29,60,False
2020-12-06,65,False
2020-12-13,72,False
2020-12-20,59,False
2020-12-27,70,False
2021-01-03,67,False
2021-01-10,72,False
2021-01-17,79,False
2021-01-24,77,False
2021-01-31,84,False
2021-02-07,80,False
2021-02-14,79,False
2021-02-21,82,False
2021-02-28,74,False
2021-03-07,59,False
2021-03-14,80,False
2021-03-21,76,False
2021-03-28,71,False
2021-04-04,64,False
2021-04-11,74,False
2021-04-18,87,False
2021-04-25,100,False
2021-05-02,75,False
2021-05-09,81,False
2021-05-16,70,False
2021-05-23,55,False
2021-05-30,60,False
2021-06-06,55,False
2021-06-13,67,False
2021-06-20,77,False
2021-06-27,77,False
2021-07-04,73,False
2021-07-11,73,False
2021-07-18,73,False
2021-07-25,56,False
2021-08-01,66,False
2021-08-08,47,True
